"id","user_name","full_text","negative","positive","created_at"
"1621149846093860873","Stanislav Mihulka 🇨🇿 🇪🇺 🇺🇦","Memristorový Bayesovský stroj pomůže s umělými inteligencemi","20","80","2023-02-02T14:13:37.000Z"
"1618696701623271424","Václav Žemlička","Recenzenti v pokusu označili 32 % abstraktů generovaných umělými inteligencemi za pravé, tedy za lidský výtvor. O pokusu přitom věděli, byli tedy podezřívavější. Může to zvýšit množství pochybných publikovaných studií. ","50","50","2023-01-26T19:45:42.000Z"
"1615766982649057280","OSEL","Memristorový Bayesovský stroj pomůže s umělými inteligencemi","20","80","2023-01-18T17:44:02.000Z"
"1615755307518394405","Petr Klosko","Memristorový Bayesovský stroj pomůže s umělými inteligencemi","20","80","2023-01-18T16:57:39.000Z"
"1611425464957997074","Kamil Krbalek","@hospodarky Končí informační revoluce poháněná počítači a internetem a začíná znalostní revoluce poháněná umělými inteligencemi. Přelom bude rok 2025.","20","80","2023-01-06T18:12:24.000Z"
"1610217825603407873","Jeliman 🇺🇦","Také jsem vyzkoušel ChatGPT  a připadá mi to spíš jako zajímavá hříčka s velkým potenciálem než něco, co už teď něco přináší. Ale možná si neumím s umělými inteligencemi povídat. Ostatně se mi povídání nedaří ani s lidmi.","40","60","2023-01-03T10:13:40.000Z"
"1600445768967471105","Česká Mysl","Apple naskakuje na rozjetý vlak s obrázkovou umělou inteligencí. Zatím sází na open source Stable Diffusion   Rychle jedoucí vlak s umělými inteligencemi, které generují obrázky dle textového zadání, ale zvládají i dokreslování a úpravu již hotových ... ","20","80","2022-12-07T11:03:00.000Z"
"1591886921122316289","Boleslastislav","Píše se rok 2179. Zatímco techno-kmeny vedené umělými inteligencemi nadále bojují v korytě Vltavy o stálý přístup k nekontaminované vodě, z hor přichází záhadná každoroční zpráva: Vlekaři mají problémy a žádají okamžitou finanční podporu.","40","60","2022-11-13T20:13:12.000Z"
"1576283400797040641","MatkaPředstavená (satirickoHumorněLegračníCvrliky)","sz: ...v průběhu několika uplynulých měsíců zaplavily sociální sítě obrazy generované umělými inteligencemi. Jejich schopnosti nám doslova sílí před očima a už teď je jasné, že tyto technologie zcela promění vizuální kulturu i řadu dalších oblastí.","20","80","2022-10-01T18:50:23.000Z"
"1638626095304941590","Stanislav Mihulka 🇨🇿 🇪🇺 🇺🇦","Co může říct biologie k umělým inteligencím? Mrkněte na nervovou soustavu žahavců. Žádný mozek, jen decentralizované neurální sítě. Podle nového výzkumu na sasance Nematostella vectensis mají tyhle potvory vzpomínky a učí se. Co asi dělají strojové AI? ","40","60","2023-03-22T19:37:59.000Z"
"1565982904869703682","MatkaPředstavená (satirickoHumorněLegračníCvrliky)","ct:Budoucnost umění Kreativním umělým inteligencím se věnuje v posledních měsících celá řada úvah, ať už si člověk pod slovem kreativní představí cokoliv. Nejčastěji v ní zaznívají obavy umělců o živobytí –⁠ každý vydavatel knih si podle nich za pár let velmi dobře rozmyslí, +","40","60","2022-09-03T08:39:53.000Z"
"1631961392503767040","David Kalina","V dnešní době se mluví hodně o umělých inteligencích. Že jsou chytré jako člověk. A sám je používám, ale zdá se mi, že jsou chytré jako člověk s Alzheimerem. Dá se nadšeně diskutovat deset zpráv a potom úplně zapomene na zprávu napsanou před nějakou dobou. Je to iritující","50","50","2023-03-04T10:14:51.000Z"
"1622236285556477956","Vojtěch Rohlena","Poslední dobou se hodně mluví o umělých inteligencích AI, především ve spojení s ChatGPT od OpenAI. Ne každý má však možnost investovat do těchto technologií a startupů napřímo. Naštěstí tu máme velké veřejně obchodované podniky na burze, které z AI budou profitovat.","30","70","2023-02-05T14:10:44.000Z"
"1599518033315213312","Stanislav Mihulka 🇨🇿 🇪🇺 🇺🇦","@zlesam Být to na mě, zareaguji zavedením předmětu o umělých inteligencích s praktickými cvičeními.","20","80","2022-12-04T21:36:31.000Z"
"1539988133030371328","StrangeCatch","Je jasné, že AI jsou nevyhnutelné. Jak jsme na tom dnes?  První část z tojdílné série o umělých inteligencích a autonomních zbraních  ","20","80","2022-06-23T15:05:57.000Z"
"1641936974792491016","Jaroslav Mihál","@beastik1 Pokud se bavíme o umělé inteligenci tohoto typu, tak to není na škodu. Ale představ si, není to již sci-fi, že ti zavolá bot, který již umí napodobit hlas známých a umí měnit i obličeje. V tom je to nebezpečné. V rozvoji AI ale pro techniku na kontrolu apod. nevidím problém.","40","60","2023-03-31T22:54:15.000Z"
"1641925859312545792","David Rangl","Záznam z dnešníhi spacu KARTELU o umělé inteligenci  díkes všem za parádní debatu️️","0","0","2023-03-31T22:10:05.000Z"
"1640278639311822848","vedavyzkum.cz"," Používáte ve své vědecké práci AI? A mohli bychom to vidět?   vypisuje další anketu čtenářů, tentokrát na téma umělé inteligence.    #ai ","20","80","2023-03-27T09:04:37.000Z"
"1641909673648332800","Aj Chua 🇨🇿🦁 🇺🇦","„Dostatečně inteligentní umělá inteligence nezůstane dlouho omezena na počítače. V dnešním světě můžete poslat řetězce DNA e-mailem do laboratoří, které budou na požádání vyrábět proteiny, což umožní umělé inteligenci původně omezené na internet vytvářet umělé formy života nebo","20","80","2023-03-31T21:05:46.000Z"
"1641883241291436043","🦁Lukáš Zach","E-bezpeci  video 45 min o umělé inteligenci - AI  V češtině, jsou tam ukázky chatu s ChatGPT, nač použitelné, nač méně, úskalí...  Takový úvod do problematiky (podle toho co píšou a jak jsem to zrychleně projel). ","20","80","2023-03-31T19:20:44.000Z"
"1641848900339286017","PJ 🇪🇺","Soudě podle koncentrace článků v našich novinách tu brzy vyhlásíme džihád umělé inteligenci... Na druhou stranu asi chápu, že ji někteří berou jako konkurenci","50","50","2023-03-31T17:04:16.000Z"
"1641843264306257920","PISALEK Ai #Ai #Umela #Inteligence","generátor obrázků umělou inteligencí online a bez registrace. Práce s obrázky se stala základním kamenem současného designu. Vytváření a úprava obrázků je stále více digitalizována a to nejen v profesionálním prostředí. Díky technologii umělé inteligence…","20","80","2023-03-31T16:41:52.000Z"
"1641807229333512193","Plaváček","@janmolacek Já si přečetl stenogram jejího proslovu v Senátu České republiky a dospěl jsem k poznání, že tato dáma je fyzickou obdobou generátoru náhodných souvětí. Předložil jsem jeden její příspěvek umělé inteligenci k vysvětlení, a ona místo odpovědi spáchala digitální sebevraždu.","100","0","2023-03-31T14:18:41.000Z"
"1641789020635029505","Ted","@RenataVinklero1 @fipa Já si s tím právě žádnou práci nedal. To je na tom to kouzelné. Ale vyřídím vaši poznámku té umělé inteligenci, co to napsala. Počítám, že za to může nejspíš vadná elektronka z Katoda Olomóc. Hezký den a neberte vše tak vážně. Ubyde i těch osypek.","20","80","2023-03-31T13:06:20.000Z"
"1641761994112921602","Ivan Bartoš","Katastrofické scénáře stranou! Prvky umělé inteligence a chytré algoritmy používáme každý den, třeba když nám aplikace nabízí hudbu podle toho, co posloucháme. Navíc, Evropská unie má pro umělou inteligenci připravená pravidla i soubor regulací. Podařilo se nám je schválit v… ","20","80","2023-03-31T11:18:56.000Z"
"1641756880421765120","Minuta N","Průzkum: Polovina Čechů vidí v umělé inteligenci přínos pro lidstvo #PrůzkumVeřejnéhoMínění #Technologie #UměláInteligence","20","80","2023-03-31T10:58:37.000Z"
"1641751627676696576","martin svarovsky","Hodně se toho namluvilo o ""umělé inteligenci"" v budoucím válčení. Jenže: Ona žádná skutečně ""umělá inteligence"" neexistuje. Jde jen o stále dokonalejší algoritmy a procesory strojů.  Když dojde k válce, rozhoduje vůle a odvaha. A válčí se manévrováním, zákopy a množstvím munice. ","75","25","2023-03-31T10:37:44.000Z"
"1641746824246558720","Jarka Jzz 🐶","Dostatečně inteligentní umělá inteligence nezůstane dlouho omezena na počítače. V dnešním světě můžete poslat řetězce DNA e-mailem do laboratoří, které budou na požádání vyrábět proteiny, což umožní umělé inteligenci původně omezené na internet vytvářet umělé formy života..","20","80","2023-03-31T10:18:39.000Z"
"1641697141880938496","Matěj Schneider","hezké dopoledne všem a děkuji umělé inteligenci za tuto kreativní vizualizaci obžalovaného Trumpa:","0","0","2023-03-31T07:01:14.000Z"
"1641696732995002368","Britské listy","O umělé inteligenci a její hranici nebezpečnosti | 31. 3. 2023 | Britské listy","50","50","2023-03-31T06:59:37.000Z"
"1641692821206757379","Jan Čulík, University of Glasgow","O umělé inteligenci a její hranici nebezpečnosti | 31. 3. 2023 | Britské listy","50","50","2023-03-31T06:44:04.000Z"
"1641683314401591296","roman vanek","Ráno jsem poslouchal podcast o umělé inteligenci a pojal jsem podezření, že si @cestmirstrakaty pozval do studia AI ","0","0","2023-03-31T06:06:17.000Z"
"1641680332096262144","Jan Hubka","Zajímají Vás finance, krypto nebo umělá inteligence? Mrkněte na víkendový event nabušený přednáškami   Také se aktivně zapojím do panelových diskuzí o umělé inteligenci a semnou samí odborníci jako Juraj Bednar Daniel Kosec Michal Toporcer.","20","80","2023-03-31T05:54:26.000Z"
"1641680108363628544","David Rangl","@JosefMecel Budeme žvanit nejen o umělé inteligenci probereme i další aktuality…..například ceny bund v Pařížské ulici","20","80","2023-03-31T05:53:33.000Z"
"1641533076562911237","Ren","@MarieBastlova @RomanCibulka6 1/4 Prosim vas, mohli byste konecne prestat mluvit o umele inteligenci? Dnesni host, expert, dokonce mluvil o chytrosti, i odborne servery jako @Lupacz to vzdaly a termin AI pouzivaji, ale co si z toho pak maji vzit lidi, kteri se v tematu neorientuji, lide, co nikdy treba","60","40","2023-03-30T20:09:18.000Z"
"1641510250686603276","Jakub Maloy 🇪🇺🇨🇿","@pilat_radek U té umělé se o nějaké inteligenci hovořit dá.","20","80","2023-03-30T18:38:36.000Z"
"1641470147578740736","Kovarik David","Nejbizarnější na umělé inteligenci je to, že se mě před tím, než ji začnu používat zeptá, zda jsem člověk....","20","80","2023-03-30T15:59:14.000Z"
"1641455077868052480","David Kudrna","‘V dnešním světě můžete poslat řetězce DNA e-mailem do laboratoří, které budou na požádání vyrábět proteiny, což umožní umělé inteligenci původně omezené na internet vytvářet umělé formy života nebo se rovnou pustit do postbiologické molekulární výroby.’  ","20","80","2023-03-30T14:59:21.000Z"
"1641441044591157255","Rychlofky","Přesně tak: Za výzvou Elona Muska k pozastavení vývoje umělé inteligence může být jeho historie s umělou inteligencí","40","60","2023-03-30T14:03:36.000Z"
"1641439654040993795","Nedy","Nevaruje jen on, ale další stovky významných lidí a odborníků!   Zastavte to! Ještě ostřeji se proti současné podobě umělých inteligenci vymezil na konci března americký expert na umělé inteligence Eliezer Yudkowsky.   ","50","50","2023-03-30T13:58:04.000Z"
"1641431762910978048","Česká Mysl","Zastavte vývoj umělé inteligence. Proč petici podepsal Musk, Wozniak i několik Čechů?   Už dlouho žádná zpráva okolo umělé inteligence neudělala takové vlny, jako otevřený dopis Pozastavte obří experimenty s umělou inteligencí. ","60","40","2023-03-30T13:26:43.000Z"
