"Id","User_Name","Full_Text","Sentiment_GPT","Sentiment_AWS","Negative_GPT","Negative_AWS","Positive_GPT","Positive_AWS"
"1636117113822691338","MatkaPředstavená (satirickoHumorněLegračníCvrliky)","ct24: Když senior uslyší v telefonu hlas svého vnuka, který ho zoufale prosí o pomoc, asi jen málokterý mu ji odmítne. Problém je, pokud tento hlas nepatří příbuznému – ale umělé inteligenci, která se za vnouče jen vydává. ","Positive","NEGATIVE","20","0.586996078","80","0.003987123"
"1623658324422959105","Petr Koubský","Je mnoho způsobů, jak ze sebe udělat úplného idiota s minimální námahou. Přijít 9. 2. na schůzku plánovanou na 9. 3. má nárok na místo v čele tabulky. To by se umělé inteligenci nestalo :)","Positive","NEGATIVE","20","0.850870073","80","0.023967475"
"1616829425844195329","Radim Hasalík","Předložil jsem umělé inteligenci prohlášení premiéra Fialy. Poté jsem požádal o imitaci na téma ""venku nasněžilo"". Vadí mi nefunkční věta v zákoně. Kdyby volební zákon fungoval, nemusel by tohle premiér psát. Chci to odlehčit a bojovat proti tomu také humorem. Užijte si to! ","Positive","NEGATIVE","40","0.555557251","60","0.193820894"
"1639966880529100805","� Lucie Konečná","6/ Kdo se nenaučí, bude pozadu. Já bych řekla, že už je pozadu. Proto kdokoliv, kdo semnou pracuje, umělou inteligenci už používá.","Positive","NEGATIVE","20","0.692700148","80","0.014031758"
"1638873316739153921","Burzovní svět","Úsilí společnosti Meta o generativní umělou inteligenci se již vyplácí ","Positive","NEGATIVE","20","0.706161499","80","0.007858898"
"1638477144216023040","Lucie Machalová","Tak nějak jsem čekala, že dřív nebo později se mi ozve predátorský časopis. Ale že se prvním stane periodikum, jehož vydavatel byl schopný publikovat studii napsanou umělou inteligencí, jehož autory jsou postavy ze Simpsonů, to jsem opravdu nečekala.","Positive","NEGATIVE","20","0.862898409","80","0.017640471"
"1639252072842379266","Martin Lekeš","nový update canvy je jakože TEĎ MŮŽETE VYTVOŘIT CELOU PREZENTACI POMOCÍ UMĚLÉ INTELIGENCE ne furt nejde změnit sklon písma proč se ptáš","Positive","NEGATIVE","20","0.624088883","80","0.019259375"
"1555124158865997825","FeedIT.cz","Češi fandí umělé inteligenci. Proti jejímu zavádění jsou jen 4 % lidí ","Positive","NEGATIVE","4","0.742890954","96","0.004050654"
"1638522162859618304","Tomáš Prouza","Jak je vidět, lze dnes už pomocí umělé inteligence vytvořit v podstatě cokoliv. Trochu děsivé je, že spousta lidí nepozná, že to není pravda...","Positive","NEGATIVE","20","0.520098984","80","0.012632187"
"1638599866296180738","Ondřej Tesárek","Kolem roku 2000 si pamatuji, že se v Levelu psalo o prvním filmu, který měl vypadat realisticky, ačkoliv byl 100% animovaný - nevzpomenu si na jméno.  Je rok 2023 a jsme kousek od toho, abychom měli první film, který je 100% napsán, natočen a produkován umělou inteligencí.","Positive","NEGATIVE","20","0.573901951","80","0.063736454"
